Fold,Accuracy
01, 0.42
02, 0.88
03, 0.82
04, 0.95
05, 0.89
06, 0.95
07, 0.81
08, 0.84
09, 0.91
10, 0.80

Average, 0.83
Standard Deviation, 0.14
