0.01,0.1,1.0,10.0,100.0
0.84,0.92,0.98,0.99,0.99
0.84,0.88,0.92,0.92,0.9
0.79,0.8,0.8,0.81,0.82
0.72,0.7,0.7,0.7,0.7
0.69,0.68,0.66,0.65,0.65
